Date,Diarrhea,Minimum Temperature,Maximum Temperature,Humidity,Preceptation
1/1/2022,14.0,12.06,23.21,85.69,0.0
1/2/2022,20.0,10.71,22.55,84.0,0.0
1/3/2022,15.0,10.86,23.7,83.06,0.0
1/4/2022,16.0,10.99,23.79,83.81,0.0
1/5/2022,20.0,10.52,23.49,80.56,0.0
1/6/2022,15.0,9.88,24.03,79.81,0.0
1/7/2022,13.0,10.87,24.12,79.62,0.0
1/8/2022,14.0,11.51,24.69,81.56,0.0
1/9/2022,16.0,11.89,25.23,80.69,0.0
1/10/2022,18.0,12.41,25.06,80.56,0.0
1/11/2022,21.0,12.7,25.78,79.81,0.0
1/12/2022,14.0,12.87,24.51,83.06,2.35
1/13/2022,17.0,13.59,23.37,86.12,1.11
1/14/2022,14.0,14.2,23.83,86.31,4.02
1/15/2022,10.0,12.49,24.37,83.5,0.28
1/16/2022,14.0,12.25,23.55,83.75,0.1
1/17/2022,18.0,10.44,25.57,83.19,0.0
1/18/2022,14.0,12.05,24.01,82.81,0.0
1/19/2022,10.0,13.35,23.67,82.56,0.0
1/20/2022,12.0,12.55,22.8,81.75,0.0
1/21/2022,14.0,12.19,23.0,75.5,0.0
1/22/2022,10.0,11.62,24.06,75.81,0.0
1/23/2022,17.0,12.08,25.08,69.75,0.09
1/24/2022,14.0,13.28,21.52,84.56,2.78
1/25/2022,12.0,15.69,25.34,85.75,2.22
1/26/2022,12.0,13.24,24.74,83.19,1.09
1/27/2022,13.0,14.1,22.96,86.25,7.71
1/28/2022,11.0,10.06,21.18,78.75,0.12
1/29/2022,13.0,7.86,20.38,75.69,0.0
1/30/2022,13.0,8.26,21.15,79.19,0.0
1/31/2022,9.0,8.45,21.65,72.25,0.0
2/1/2022,21.0,9.59,22.13,82.31,0.0
2/2/2022,23.0,11.52,24.06,74.19,0.01
2/3/2022,22.0,11.01,26.63,68.12,0.01
2/4/2022,24.0,11.62,26.32,70.5,0.02
2/5/2022,20.0,11.51,21.4,90.62,20.88
2/6/2022,24.0,9.19,22.36,78.31,15.75
2/7/2022,14.0,8.19,21.98,77.81,0.0
2/8/2022,15.0,8.02,22.4,77.62,0.0
2/9/2022,12.0,9.21,22.96,72.75,0.0
2/10/2022,16.0,9.97,24.36,78.88,0.0
2/11/2022,27.0,12.42,24.32,82.44,0.0
2/12/2022,18.0,9.88,22.32,73.88,0.0
2/13/2022,15.0,8.59,25.06,71.38,0.0
2/14/2022,14.0,9.87,26.26,69.44,0.0
2/15/2022,17.0,9.41,25.8,69.75,0.0
2/16/2022,12.0,9.42,24.31,65.75,0.0
2/17/2022,9.0,9.27,24.63,69.19,0.0
2/18/2022,12.0,9.65,24.7,68.19,0.0
2/19/2022,17.0,9.24,24.88,63.81,0.0
2/20/2022,15.0,10.03,26.22,69.12,0.89
2/21/2022,13.0,13.64,26.4,74.0,1.99
2/22/2022,20.0,13.05,27.89,68.5,2.61
2/23/2022,13.0,13.4,28.45,65.94,0.0
2/24/2022,10.0,13.76,29.39,68.19,0.0
2/25/2022,11.0,15.34,29.85,72.19,0.07
2/26/2022,12.0,17.23,30.82,73.12,0.0
2/27/2022,13.0,15.07,28.94,66.69,0.0
2/28/2022,16.0,16.3,29.66,65.69,0.0
3/1/2022,17.0,15.39,29.79,67.5,0.0
3/2/2022,23.0,12.99,29.0,63.44,0.0
3/3/2022,18.0,12.79,29.87,61.38,0.0
3/4/2022,21.0,13.42,29.78,62.75,0.0
3/5/2022,16.0,13.9,30.36,59.56,0.0
3/6/2022,15.0,14.17,31.38,62.0,0.0
3/7/2022,15.0,14.54,33.69,59.62,0.0
3/8/2022,22.0,17.58,32.27,53.81,0.0
3/9/2022,14.0,17.12,31.98,58.62,0.0
3/10/2022,19.0,15.37,32.76,62.31,0.0
3/11/2022,19.0,14.84,31.39,60.75,0.0
3/12/2022,11.0,15.13,31.85,60.38,0.0
3/13/2022,21.0,14.68,32.86,60.31,0.0
3/14/2022,12.0,17.81,33.33,57.5,0.0
3/15/2022,21.0,18.53,33.48,53.94,0.0
3/16/2022,26.0,19.19,33.81,55.5,0.0
3/17/2022,21.0,17.34,34.15,57.88,0.0
3/18/2022,15.0,17.26,34.33,59.0,0.0
3/19/2022,24.0,19.76,34.55,59.06,0.0
3/20/2022,20.0,19.47,33.98,67.44,0.0
3/21/2022,20.0,18.4,34.35,63.19,0.0
3/22/2022,22.0,17.09,35.69,63.06,0.0
3/23/2022,19.0,19.71,36.28,60.5,0.0
3/24/2022,17.0,22.13,33.15,76.94,0.0
3/25/2022,17.0,22.32,32.29,78.88,0.0
3/26/2022,19.0,23.3,31.42,80.62,0.26
3/27/2022,22.0,22.73,33.63,78.69,1.76
3/28/2022,21.0,21.3,32.8,78.62,0.9
3/29/2022,19.0,21.56,32.93,79.88,1.22
3/30/2022,19.0,22.1,32.61,81.69,2.38
3/31/2022,18.0,22.56,33.69,79.25,1.0
4/1/2022,25.0,22.91,33.63,78.12,0.01
4/2/2022,22.0,22.9,34.28,76.69,0.0
4/3/2022,20.0,21.71,33.45,76.12,0.01
4/4/2022,40.0,23.6,32.9,75.0,0.03
4/5/2022,26.0,21.98,34.58,75.88,0.17
4/6/2022,35.0,22.48,35.55,74.81,2.04
4/7/2022,33.0,23.02,38.65,63.06,0.0
4/8/2022,51.0,22.01,36.92,67.88,0.0
4/9/2022,96.0,21.94,36.06,69.62,0.0
4/10/2022,122.0,22.39,37.17,69.5,0.08
4/11/2022,149.0,22.91,34.34,75.81,0.37
4/12/2022,87.0,24.33,35.2,74.25,0.07
4/13/2022,53.0,23.83,36.44,71.75,0.0
4/14/2022,41.0,24.68,34.0,73.5,0.0
4/15/2022,80.0,25.6,34.72,70.81,0.0
4/16/2022,81.0,25.19,33.8,73.5,0.0
4/17/2022,72.0,24.01,35.11,73.19,0.1
4/18/2022,73.0,23.92,35.48,73.38,0.08
4/19/2022,68.0,23.08,35.73,71.69,2.23
4/20/2022,40.0,23.61,34.97,74.38,17.42
4/21/2022,44.0,21.45,33.76,74.75,14.7
4/22/2022,50.0,22.76,33.44,78.88,11.25
4/23/2022,43.0,23.15,34.0,80.06,16.48
