Date,Diarrhea,Minimum Temperature,Maximum Temperature,Humidity,Preceptation
1/1/2022,47.0,12.66,22.9,85.56,0.0
1/2/2022,39.0,11.85,22.62,83.69,0.0
1/3/2022,38.0,11.73,22.55,83.69,0.0
1/4/2022,41.0,11.62,22.6,83.69,0.0
1/5/2022,27.0,10.62,22.53,79.0,0.0
1/6/2022,34.0,11.24,23.4,78.94,0.0
1/7/2022,22.0,12.65,23.63,81.56,0.0
1/8/2022,27.0,12.76,24.36,84.12,0.0
1/9/2022,37.0,13.59,24.15,82.19,0.0
1/10/2022,36.0,14.33,24.75,82.38,0.0
1/11/2022,41.0,14.48,24.73,83.81,0.01
1/12/2022,50.0,16.13,23.18,88.81,2.29
1/13/2022,35.0,15.22,22.87,85.5,2.34
1/14/2022,44.0,13.88,21.67,80.12,1.0
1/15/2022,32.0,13.26,23.35,77.56,0.08
1/16/2022,32.0,12.59,22.64,80.06,0.04
1/17/2022,44.0,10.62,23.44,80.0,0.0
1/18/2022,36.0,11.23,23.08,82.56,0.0
1/19/2022,33.0,13.94,22.94,77.38,0.0
1/20/2022,31.0,13.78,22.25,79.75,0.0
1/21/2022,39.0,12.86,22.76,65.38,0.0
1/22/2022,35.0,12.58,23.04,67.88,0.0
1/23/2022,33.0,13.44,24.47,73.12,0.16
1/24/2022,39.0,14.65,20.29,87.38,6.0
1/25/2022,34.0,15.54,22.57,79.88,2.52
1/26/2022,31.0,13.76,23.66,76.06,2.2
1/27/2022,29.0,13.4,21.58,81.94,5.76
1/28/2022,32.0,9.92,20.75,74.94,0.4
1/29/2022,33.0,9.31,20.0,76.31,0.0
1/30/2022,26.0,9.65,21.33,72.12,0.0
1/31/2022,30.0,11.19,22.19,64.81,0.0
2/1/2022,40.0,11.49,23.37,79.0,0.06
2/2/2022,42.0,12.98,23.99,66.31,0.03
2/3/2022,31.0,11.97,24.46,73.38,0.06
2/4/2022,27.0,13.36,24.52,80.69,8.26
2/5/2022,32.0,12.43,22.11,76.56,21.84
2/6/2022,26.0,11.19,21.45,73.94,17.18
2/7/2022,28.0,9.38,21.16,73.62,0.0
2/8/2022,31.0,11.11,22.47,65.81,0.0
2/9/2022,23.0,11.89,23.63,64.31,0.0
2/10/2022,26.0,12.17,23.78,74.12,0.05
2/11/2022,22.0,13.75,24.12,75.19,0.07
2/12/2022,26.0,13.15,22.95,65.5,0.0
2/13/2022,27.0,10.58,24.23,70.38,0.0
2/14/2022,27.0,10.67,24.58,71.62,0.0
2/15/2022,24.0,12.05,24.62,63.94,0.0
2/16/2022,26.0,13.38,24.67,59.75,0.0
2/17/2022,25.0,11.95,25.21,58.88,0.0
2/18/2022,25.0,12.62,25.15,54.25,0.0
2/19/2022,34.0,14.77,25.83,53.56,0.0
2/20/2022,24.0,12.59,26.26,73.0,2.54
2/21/2022,28.0,13.43,26.01,68.5,1.4
2/22/2022,34.0,14.23,26.44,65.44,1.54
2/23/2022,29.0,15.65,27.55,66.56,0.02
2/24/2022,27.0,15.44,28.58,75.12,0.06
2/25/2022,29.0,17.4,28.3,74.69,0.83
2/26/2022,40.0,17.88,29.37,72.62,0.61
2/27/2022,37.0,17.1,28.89,64.38,0.02
2/28/2022,39.0,17.54,29.43,65.88,0.84
3/1/2022,39.0,17.82,29.26,62.88,0.34
3/2/2022,32.0,15.89,29.23,60.19,0.0
3/3/2022,37.0,16.37,29.89,56.5,0.0
3/4/2022,35.0,16.89,29.7,51.69,0.0
3/5/2022,46.0,17.33,30.55,52.62,0.0
3/6/2022,30.0,18.37,30.99,55.12,0.0
3/7/2022,53.0,16.41,32.57,60.0,0.0
3/8/2022,39.0,18.19,32.15,56.56,0.0
3/9/2022,46.0,18.49,32.58,54.81,0.0
3/10/2022,36.0,17.76,32.57,50.94,0.0
3/11/2022,41.0,17.51,32.15,51.12,0.0
3/12/2022,44.0,19.3,32.3,48.69,0.0
3/13/2022,37.0,17.97,32.75,51.69,0.0
3/14/2022,36.0,18.44,33.79,51.25,0.0
3/15/2022,40.0,19.62,34.34,46.5,0.0
3/16/2022,33.0,18.83,34.73,49.56,0.0
3/17/2022,33.0,19.44,35.07,52.88,0.0
3/18/2022,40.0,19.46,35.69,49.75,0.0
