Date,Diarrhea,Minimum Temperature,Maximum Temperature,Humidity,Preceptation
1/1/2022,85.0,11.91,22.67,84.06,0.0
1/2/2022,69.0,11.45,22.08,85.19,0.0
1/3/2022,70.0,10.69,22.73,83.88,0.0
1/4/2022,81.0,10.92,22.4,79.38,0.0
1/5/2022,77.0,8.95,22.81,78.69,0.0
1/6/2022,77.0,9.94,23.67,76.75,0.0
1/7/2022,78.0,11.17,24.17,77.5,0.0
1/8/2022,88.0,11.98,24.92,82.31,0.0
1/9/2022,71.0,12.92,25.26,80.06,0.0
1/10/2022,95.0,14.34,25.52,76.5,0.0
1/11/2022,88.0,14.48,25.26,81.62,1.0
1/12/2022,80.0,15.06,23.25,88.56,5.21
1/13/2022,90.0,13.6,23.16,85.88,1.33
1/14/2022,81.0,14.12,22.73,83.12,1.17
1/15/2022,76.0,12.6,23.04,78.62,0.53
1/16/2022,77.0,11.3,22.66,78.5,0.07
1/17/2022,72.0,8.91,22.65,80.19,0.0
1/18/2022,90.0,9.67,22.65,81.56,0.0
1/19/2022,71.0,11.32,23.35,80.88,0.0
1/20/2022,83.0,10.87,22.73,76.62,0.0
1/21/2022,61.0,12.53,24.1,63.44,0.05
1/22/2022,76.0,12.6,24.14,77.75,0.37
1/23/2022,78.0,13.01,25.56,81.94,0.6
1/24/2022,66.0,15.72,21.87,91.81,7.34
1/25/2022,84.0,14.77,23.58,79.56,0.65
1/26/2022,82.0,14.51,23.94,78.81,1.54
1/27/2022,62.0,12.3,22.35,78.0,1.49
1/28/2022,69.0,8.8,21.3,73.31,1.57
1/29/2022,63.0,7.65,20.35,76.25,0.0
1/30/2022,63.0,7.52,22.19,68.81,0.0
1/31/2022,53.0,10.25,24.01,62.12,0.0
2/1/2022,90.0,10.93,25.43,75.81,0.0
2/2/2022,65.0,11.73,25.86,64.06,0.0
2/3/2022,61.0,12.01,27.12,79.31,0.12
2/4/2022,64.0,15.27,26.32,84.25,28.91
2/5/2022,58.0,11.82,22.89,71.19,7.48
2/6/2022,69.0,10.53,22.1,70.56,17.15
2/7/2022,75.0,10.6,22.36,69.5,0.0
2/8/2022,61.0,10.74,23.96,63.5,0.0
2/9/2022,60.0,12.4,25.41,65.38,0.0
2/10/2022,57.0,12.62,25.33,78.38,0.36
2/11/2022,68.0,13.93,24.7,73.88,0.2
2/12/2022,70.0,12.97,23.84,58.44,0.0
2/13/2022,70.0,10.01,24.59,65.94,0.0
2/14/2022,71.0,10.29,25.19,64.94,0.0
2/15/2022,76.0,11.98,25.67,58.38,0.0
2/16/2022,65.0,11.68,25.69,59.19,0.0
2/17/2022,61.0,11.34,26.78,63.38,0.0
2/18/2022,67.0,11.95,26.56,53.75,0.0
2/19/2022,75.0,12.58,27.23,54.38,0.0
2/20/2022,67.0,12.91,28.41,73.94,3.71
2/21/2022,64.0,13.05,27.65,66.25,0.73
2/22/2022,59.0,13.78,27.75,72.94,2.19
2/23/2022,79.0,16.08,28.9,71.94,0.78
2/24/2022,51.0,15.35,30.34,69.44,1.59
2/25/2022,66.0,17.1,29.9,71.56,2.36
2/26/2022,77.0,18.83,30.4,68.62,1.02
2/27/2022,67.0,17.11,30.76,65.38,3.26
2/28/2022,77.0,17.75,30.01,70.44,10.82
3/1/2022,83.0,17.37,29.37,65.5,4.75
3/2/2022,76.0,16.82,29.69,60.62,0.0
3/3/2022,60.0,17.48,30.5,55.75,0.0
3/4/2022,61.0,15.04,30.62,56.81,0.0
3/5/2022,60.0,16.58,31.82,58.0,0.0
3/6/2022,73.0,17.73,31.6,56.0,0.0
3/7/2022,74.0,15.94,32.18,56.25,0.0
3/8/2022,63.0,15.56,32.74,58.69,0.0
3/9/2022,68.0,15.65,33.54,55.25,0.0
3/10/2022,67.0,15.24,33.26,53.88,0.0
3/11/2022,79.0,15.8,32.98,50.75,0.0
3/12/2022,81.0,17.08,33.4,56.25,0.0
3/13/2022,67.0,16.55,33.78,53.75,0.0
3/14/2022,84.0,17.09,35.01,52.62,0.0
3/15/2022,79.0,17.23,35.67,48.06,0.0
3/16/2022,85.0,17.73,36.37,55.19,0.0
3/17/2022,84.0,19.06,36.79,60.62,0.0
3/18/2022,69.0,19.45,37.24,56.88,0.0
3/19/2022,77.0,19.05,37.56,54.25,0.0
3/20/2022,82.0,18.85,37.13,55.5,0.0
3/21/2022,89.0,19.06,37.58,61.0,0.0
3/22/2022,91.0,21.9,38.08,58.25,0.0
3/23/2022,99.0,22.62,38.9,53.12,0.0
3/24/2022,90.0,23.42,38.9,57.5,0.0
3/25/2022,93.0,23.3,38.32,63.75,0.0
3/26/2022,97.0,24.8,38.86,63.0,0.0
3/27/2022,82.0,23.87,38.07,63.38,0.03
3/28/2022,65.0,23.96,38.44,57.75,0.14
3/29/2022,77.0,23.58,38.37,61.62,0.3
3/30/2022,85.0,24.12,38.08,65.0,0.1
3/31/2022,69.0,24.28,38.8,62.62,0.0
4/1/2022,90.0,24.79,39.01,62.88,0.0
4/2/2022,81.0,25.35,38.29,62.5,0.0
4/3/2022,88.0,24.49,38.51,62.75,0.0
4/4/2022,88.0,25.55,39.41,59.0,0.0
4/5/2022,90.0,24.43,39.53,58.06,0.02
4/6/2022,90.0,23.52,39.79,60.88,0.42
4/7/2022,90.0,23.43,40.59,54.69,0.0
4/8/2022,80.0,22.94,40.44,52.06,0.0
4/9/2022,87.0,24.32,40.76,55.19,0.0
4/10/2022,110.0,24.01,40.65,58.19,0.0
4/11/2022,110.0,25.09,41.1,58.0,0.0
4/12/2022,91.0,25.36,40.98,56.69,0.0
4/13/2022,116.0,25.36,41.07,56.5,0.0
4/14/2022,98.0,25.74,41.05,56.94,0.18
4/15/2022,92.0,26.58,43.21,51.5,0.45
4/16/2022,101.0,26.23,41.19,55.81,0.44
4/17/2022,149.0,26.37,41.31,54.25,0.01
4/18/2022,114.0,25.56,41.8,51.88,0.02
4/19/2022,122.0,25.83,41.31,53.38,0.31
4/20/2022,113.0,25.39,40.78,56.12,2.26
4/21/2022,127.0,24.95,38.74,55.81,1.86
4/22/2022,93.0,26.83,39.48,54.56,1.26
4/23/2022,148.0,26.05,40.99,58.75,10.18
4/24/2022,166.0,25.64,41.76,56.25,3.58
4/25/2022,129.0,25.44,42.35,54.88,0.0
4/26/2022,109.0,26.32,42.47,53.5,0.19
4/27/2022,123.0,26.37,42.74,54.69,0.47
4/28/2022,103.0,25.98,43.79,50.38,0.04
4/29/2022,104.0,26.48,43.88,49.94,0.1
4/30/2022,101.0,26.73,41.96,51.12,2.22
5/1/2022,90.0,26.5,40.09,51.12,4.38
5/2/2022,80.0,25.95,38.72,58.44,7.14
5/3/2022,75.0,25.25,35.54,69.0,19.08
5/4/2022,100.0,24.62,34.79,71.94,13.03
5/5/2022,120.0,25.15,36.22,65.44,3.21
5/6/2022,92.0,24.9,35.33,71.44,17.34
5/7/2022,105.0,24.94,36.33,65.19,1.97
5/8/2022,77.0,25.12,37.73,62.5,1.33
5/9/2022,107.0,25.58,33.87,75.5,12.82
5/10/2022,123.0,25.61,32.23,81.31,17.13
5/11/2022,115.0,25.63,33.44,81.31,24.95
5/12/2022,122.0,26.0,34.69,77.88,5.08
5/13/2022,116.0,26.3,34.69,79.19,7.02
5/14/2022,121.0,26.33,37.08,76.38,4.26
5/15/2022,95.0,26.95,34.13,80.06,4.87
5/16/2022,88.0,26.92,32.92,82.5,0.36
5/17/2022,100.0,26.9,33.6,80.06,0.23
5/18/2022,86.0,27.33,32.94,81.25,0.5
5/19/2022,89.0,26.73,36.37,74.94,0.17
5/20/2022,108.0,26.87,36.8,73.25,5.42
5/21/2022,109.0,26.57,34.11,84.0,38.92
5/22/2022,112.0,23.97,33.5,80.25,3.69
5/23/2022,99.0,25.08,35.09,74.81,1.11
5/24/2022,103.0,24.58,36.01,71.75,1.8
5/25/2022,86.0,26.48,34.65,74.5,8.62
5/26/2022,104.0,25.73,35.55,73.12,9.93
5/27/2022,92.0,25.87,35.97,72.44,12.49
5/28/2022,83.0,25.93,36.23,73.06,7.76
5/29/2022,89.0,26.58,34.85,77.12,34.87
5/30/2022,113.0,26.47,32.55,83.25,16.32
5/31/2022,74.0,26.19,32.48,83.0,3.49
6/1/2022,81.0,26.62,31.36,87.88,4.37
6/2/2022,42.0,25.99,33.58,81.38,1.4
6/3/2022,57.0,26.66,32.1,86.06,1.77
6/4/2022,46.0,26.8,32.4,82.81,2.11
6/5/2022,75.0,26.44,32.95,83.69,1.36
6/6/2022,64.0,26.23,33.91,81.38,1.56
6/7/2022,54.0,25.98,35.03,79.31,0.74
6/8/2022,47.0,26.63,33.12,83.56,0.35
6/9/2022,15.0,27.18,32.49,87.44,11.91
6/10/2022,9.0,26.08,33.25,80.56,8.68
6/11/2022,22.0,25.84,33.45,82.31,2.02
6/12/2022,21.0,26.45,34.85,80.25,0.02
6/13/2022,11.0,27.25,35.12,79.38,0.72
6/14/2022,16.0,27.22,33.75,83.44,4.69
6/15/2022,21.0,26.93,33.32,82.88,4.28
6/16/2022,18.0,26.63,30.36,87.44,6.9
6/17/2022,28.0,26.65,30.65,90.0,15.68
6/18/2022,16.0,26.39,30.51,87.94,16.99
6/19/2022,20.0,26.05,30.39,88.38,9.06
6/20/2022,15.0,25.63,29.3,88.94,10.39
6/21/2022,18.0,25.65,30.36,88.44,9.14
6/22/2022,20.0,25.19,31.79,84.94,10.13
6/23/2022,9.0,24.38,32.73,85.44,5.22
6/24/2022,12.0,25.44,32.09,85.56,5.63
6/25/2022,20.0,25.38,33.0,84.38,4.4
6/26/2022,15.0,25.75,31.89,84.81,3.52
6/27/2022,19.0,25.61,32.87,83.31,2.1
6/28/2022,20.0,25.96,31.53,87.38,4.78
6/29/2022,29.0,25.83,31.22,88.56,6.15
6/30/2022,24.0,25.99,30.79,89.31,10.85
7/1/2022,12.0,26.17,31.7,89.44,10.97
7/2/2022,19.0,26.03,32.21,85.94,11.7
7/3/2022,16.0,25.99,31.2,89.06,7.06
7/4/2022,20.0,26.0,32.8,87.12,5.3
