Date,Diarrhea,Minimum Temperature,Maximum Temperature,Humidity,Preceptation
1/1/2022,60.0,11.53,22.73,82.0,0.0
1/2/2022,65.0,10.13,22.23,83.38,0.0
1/3/2022,61.0,11.05,22.59,81.12,0.0
1/4/2022,53.0,9.01,21.96,77.94,0.0
1/5/2022,49.0,8.64,22.46,76.94,0.0
1/6/2022,58.0,10.4,23.69,74.56,0.0
1/7/2022,57.0,11.7,23.82,75.88,0.0
1/8/2022,66.0,12.5,24.53,81.81,0.0
1/9/2022,49.0,14.03,25.38,76.81,0.0
1/10/2022,53.0,14.78,25.55,76.62,0.0
1/11/2022,55.0,15.2,24.68,85.69,2.31
1/12/2022,50.0,14.85,23.01,86.69,5.81
1/13/2022,57.0,13.6,22.62,81.69,4.36
1/14/2022,53.0,10.3,20.01,75.75,4.41
1/15/2022,50.0,10.03,22.39,75.5,0.02
1/16/2022,51.0,8.97,22.05,79.44,0.02
1/17/2022,47.0,8.05,21.86,80.31,0.0
1/18/2022,53.0,9.8,23.1,80.12,0.0
1/19/2022,41.0,10.93,23.06,79.56,0.0
1/20/2022,52.0,10.33,21.3,71.44,0.0
1/21/2022,43.0,11.53,23.06,66.5,0.0
1/22/2022,51.0,11.49,22.75,76.56,0.2
1/23/2022,48.0,12.69,23.19,83.19,1.33
1/24/2022,48.0,14.08,22.77,83.0,1.04
1/25/2022,51.0,14.03,23.03,78.25,0.47
1/26/2022,50.0,12.76,21.74,80.94,0.78
1/27/2022,41.0,9.54,21.52,70.94,0.06
1/28/2022,43.0,8.26,20.33,72.19,0.13
1/29/2022,52.0,7.51,20.49,72.56,0.0
1/30/2022,40.0,7.51,21.64,69.44,0.0
1/31/2022,55.0,8.05,23.05,72.06,0.0
2/1/2022,40.0,9.38,23.8,70.25,0.0
2/2/2022,47.0,11.14,24.65,64.56,0.0
2/3/2022,34.0,11.51,24.86,73.44,0.28
2/4/2022,28.0,14.12,22.13,92.81,33.28
2/5/2022,42.0,10.16,21.26,75.0,0.52
2/6/2022,34.0,7.67,20.73,71.06,3.42
2/7/2022,25.0,10.21,21.76,61.94,0.14
2/8/2022,28.0,9.08,22.69,61.94,0.0
2/9/2022,38.0,10.51,24.4,64.56,0.0
2/10/2022,29.0,12.73,21.54,82.31,5.28
2/11/2022,31.0,12.33,23.6,73.75,0.5
2/12/2022,34.0,8.78,23.45,60.12,0.04
2/13/2022,42.0,11.61,23.94,59.69,0.0
2/14/2022,43.0,9.9,24.3,61.56,0.0
2/15/2022,33.0,10.94,25.26,55.62,0.0
2/16/2022,32.0,10.26,24.93,57.94,0.0
2/17/2022,34.0,10.78,26.36,63.44,0.0
2/18/2022,31.0,10.94,26.4,55.94,0.0
2/19/2022,29.0,10.55,27.08,61.31,0.0
2/20/2022,33.0,12.58,25.64,71.75,0.99
2/21/2022,29.0,13.22,26.57,68.88,1.06
2/22/2022,35.0,12.15,26.55,62.5,0.01
2/23/2022,38.0,13.7,27.99,65.94,0.07
2/24/2022,38.0,14.86,29.15,68.56,0.1
2/25/2022,19.0,18.01,28.59,74.88,2.38
2/26/2022,22.0,16.93,28.99,69.25,1.58
2/27/2022,52.0,16.28,29.31,63.25,1.24
2/28/2022,45.0,17.3,30.4,69.38,1.09
3/1/2022,43.0,15.35,30.05,56.62,0.33
3/2/2022,42.0,16.1,29.89,52.12,0.0
3/3/2022,45.0,15.33,30.62,51.0,0.0
3/4/2022,43.0,14.55,31.44,53.69,0.0
3/5/2022,31.0,14.78,32.23,57.12,0.0
3/6/2022,36.0,16.24,31.58,49.25,0.0
3/7/2022,40.0,14.94,32.65,48.94,0.0
3/8/2022,41.0,16.04,33.01,52.94,0.0
3/9/2022,49.0,15.5,33.58,47.19,0.0
3/10/2022,45.0,15.87,33.36,46.12,0.0
3/11/2022,50.0,15.89,33.48,45.25,0.0
3/12/2022,41.0,16.65,33.73,47.06,0.0
3/13/2022,44.0,17.19,33.94,42.94,0.0
3/14/2022,51.0,17.28,34.65,43.56,0.0
3/15/2022,48.0,17.23,35.97,42.38,0.0
3/16/2022,47.0,18.79,36.32,48.81,0.0
3/17/2022,51.0,19.15,36.68,56.0,0.0
3/18/2022,50.0,20.15,37.37,53.75,0.0
3/19/2022,62.0,20.83,37.9,47.25,0.0
3/20/2022,67.0,20.65,37.29,46.06,0.0
3/21/2022,67.0,20.87,37.19,56.38,0.0
3/22/2022,72.0,22.11,37.81,55.44,0.0
3/23/2022,70.0,23.37,38.51,49.75,0.12
3/24/2022,47.0,20.67,38.02,48.56,1.43
3/25/2022,60.0,22.25,37.76,56.25,0.0
3/26/2022,68.0,23.58,39.57,52.06,0.0
3/27/2022,57.0,19.89,37.87,46.19,0.0
3/28/2022,65.0,21.57,37.19,50.62,0.11
3/29/2022,82.0,20.62,37.0,56.31,0.04
3/30/2022,67.0,22.44,36.83,57.88,0.15
3/31/2022,63.0,24.01,38.01,59.81,0.1
4/1/2022,74.0,24.15,38.54,59.81,0.19
4/2/2022,75.0,25.16,37.6,60.0,0.29
4/3/2022,85.0,25.07,37.48,59.19,1.54
4/4/2022,80.0,24.65,39.4,56.44,2.52
4/5/2022,72.0,23.85,39.23,59.25,2.53
4/6/2022,84.0,23.01,39.3,56.12,0.1
4/7/2022,93.0,23.29,39.53,53.38,0.02
4/8/2022,81.0,23.3,39.9,49.12,0.04
4/9/2022,103.0,23.57,39.69,45.0,0.03
4/10/2022,120.0,23.62,40.51,50.88,0.42
4/11/2022,90.0,25.14,39.66,50.44,0.29
4/12/2022,75.0,25.01,39.8,51.5,0.1
4/13/2022,96.0,26.08,41.45,50.44,0.61
4/14/2022,91.0,26.87,42.12,46.81,0.27
4/15/2022,97.0,25.99,42.83,38.5,1.09
4/16/2022,173.0,24.98,41.08,43.75,0.54
4/17/2022,141.0,25.91,41.73,42.81,0.04
4/18/2022,133.0,26.36,41.52,45.5,0.56
4/19/2022,142.0,26.61,41.14,49.38,0.89
4/20/2022,119.0,25.3,35.58,64.62,20.94
4/21/2022,114.0,23.65,34.87,65.81,4.16
4/22/2022,132.0,25.73,38.0,56.69,2.07
4/23/2022,146.0,25.74,41.37,45.25,1.65
4/24/2022,144.0,23.61,41.61,39.88,1.79
4/25/2022,138.0,23.22,42.73,37.88,0.0
4/26/2022,125.0,24.04,42.48,41.19,0.0
4/27/2022,119.0,25.39,42.48,45.94,0.43
4/28/2022,98.0,26.26,41.18,50.69,1.11
4/29/2022,121.0,26.0,41.75,51.81,2.36
4/30/2022,116.0,27.17,40.85,51.62,4.53
5/1/2022,93.0,25.8,40.03,49.25,0.93
5/2/2022,73.0,26.73,39.65,48.75,1.43
5/3/2022,80.0,26.25,32.57,68.06,26.87
5/4/2022,142.0,24.08,34.33,66.69,4.2
5/5/2022,158.0,25.08,35.59,61.62,1.74
5/6/2022,146.0,24.9,34.6,67.88,14.33
5/7/2022,145.0,25.44,35.31,62.56,3.29
5/8/2022,135.0,25.38,36.99,57.25,0.37
5/9/2022,144.0,25.68,36.86,59.69,0.72
5/10/2022,136.0,25.36,33.11,75.06,14.54
5/11/2022,135.0,25.44,34.14,76.19,11.09
5/12/2022,112.0,26.3,35.94,70.81,5.98
5/13/2022,90.0,26.38,36.0,74.31,12.37
5/14/2022,92.0,26.37,39.81,71.19,7.79
5/15/2022,105.0,26.99,37.43,73.81,8.1
5/16/2022,108.0,26.94,37.42,71.69,3.28
5/17/2022,108.0,26.54,37.01,71.06,12.74
5/18/2022,124.0,27.44,34.49,78.56,14.22
5/19/2022,104.0,26.74,37.76,70.88,7.37
5/20/2022,101.0,26.58,36.23,73.0,13.88
5/21/2022,81.0,26.21,35.23,78.69,26.51
5/22/2022,76.0,25.37,35.84,75.0,14.77
5/23/2022,99.0,25.9,34.01,74.62,1.97
5/24/2022,126.0,25.49,34.66,73.38,6.19
5/25/2022,127.0,26.51,34.79,71.25,6.98
5/26/2022,83.0,25.29,35.72,66.81,2.3
5/27/2022,60.0,25.43,35.05,69.56,7.08
5/28/2022,62.0,25.4,34.64,70.62,8.53
5/29/2022,45.0,26.08,32.95,80.0,19.38
5/30/2022,61.0,25.81,34.37,76.56,1.36
5/31/2022,53.0,26.11,33.75,77.62,1.17
6/1/2022,87.0,26.4,32.41,81.75,3.53
6/2/2022,57.0,26.33,34.49,75.56,0.37
6/3/2022,41.0,26.18,35.58,74.56,2.88
6/4/2022,67.0,26.81,33.94,77.19,5.46
6/5/2022,51.0,26.08,35.95,74.06,1.29
6/6/2022,53.0,26.29,35.38,75.62,8.27
6/7/2022,59.0,26.09,35.3,74.75,9.39
6/8/2022,47.0,26.62,34.41,78.69,6.11
6/9/2022,31.0,26.89,33.03,84.69,13.68
6/10/2022,54.0,26.48,34.86,74.81,3.84
6/11/2022,33.0,25.7,35.52,75.12,0.26
6/12/2022,27.0,26.47,35.83,75.62,2.11
6/13/2022,33.0,27.0,38.13,71.31,2.35
6/14/2022,28.0,27.44,37.11,74.06,4.51
6/15/2022,35.0,27.29,33.7,80.19,2.64
6/16/2022,33.0,27.09,34.51,78.38,6.84
6/17/2022,29.0,26.88,32.5,84.69,20.9
6/18/2022,38.0,26.34,32.37,81.88,11.1
6/19/2022,48.0,26.03,33.16,79.88,8.04
6/20/2022,66.0,26.03,32.36,82.69,14.46
6/21/2022,49.0,25.95,31.3,84.19,3.67
6/22/2022,56.0,25.73,33.07,78.5,2.03
6/23/2022,63.0,25.07,33.98,76.69,0.64
6/24/2022,48.0,26.07,33.36,78.69,0.79
6/25/2022,76.0,25.83,33.7,79.38,3.15
6/26/2022,44.0,26.36,34.08,78.88,3.13
6/27/2022,76.0,26.19,34.63,76.19,0.61
6/28/2022,71.0,26.49,32.72,79.88,4.12
6/29/2022,55.0,25.91,31.5,84.38,1.9
6/30/2022,43.0,26.26,30.73,86.12,8.45
